,outlet_id,balance,total_quantity,total_price,order_frequency_avg,days_late_delivery_avg,days_until_delivery_avg,ordering_pattern_mode,high_qty_high_amt,high_qty_less_amt,less_qty_high_amt,less_qty_less_amt,beat_name,city,pin,state,outletcategory
31502,155018,0,205,313811,15,0,0,Infrequent,3,0,0,0,Pawan Nagar - Govind Nagar,Nashik,422005.0,MAHARASHTRA,Self Service Store / Stand Alone / Super Market
31503,155020,10447,13,2538,14,0,0,Regular,3,0,5,0,Akurdi Main Market,Pune,411035.0,MAHARASHTRA,Kirana / Grocery / General Store
31504,155021,6372,7,2684,7,0,0,Frequent,4,0,5,0,Akurdi Main Market,Pune,411035.0,MAHARASHTRA,Kirana / Grocery / General Store
31505,155022,177,9,695,35,0,0,Infrequent,1,1,0,1,Sankeshwar,Ramdurg,591313.0,KARNATAKA,Kirana / Grocery / General Store
31506,155023,6645,7,1641,21,0,0,Regular,3,0,2,0,Sankeshwar,Ramdurg,591313.0,KARNATAKA,Kirana / Grocery / General Store
31507,155024,0,107,10422,7,0,0,Frequent,17,0,0,0,Khedashi - Pali,Ratnagiri,415639.0,MAHARASHTRA,Kirana / Grocery / General Store
31508,155025,2797,7,1141,22,0,0,Regular,2,0,1,1,Sankeshwar,Ramdurg,591313.0,KARNATAKA,Kirana / Grocery / General Store
31509,155026,0,90,9601,13,0,0,Regular,7,0,1,0,Khedashi - Pali,Ratnagiri,415619.0,MAHARASHTRA,Kirana / Grocery / General Store
31510,155027,14354,8,2162,12,0,0,Frequent,3,0,6,0,Sankeshwar,Ramdurg,591313.0,KARNATAKA,Kirana / Grocery / General Store
31511,155028,9490,15,3753,17,0,0,Regular,3,0,3,0,Sankeshwar,Ramdurg,591313.0,KARNATAKA,Kirana / Grocery / General Store
31512,155029,0,26,2571,14,0,0,Frequent,6,0,0,0,Khedashi - Pali,Ratnagiri,415619.0,MAHARASHTRA,Kirana / Grocery / General Store
31513,155030,168872,26,12485,8,0,0,Frequent,9,0,5,0,Hindalga,Belagavi,590018.0,KARNATAKA,Kirana / Grocery / General Store
31514,155032,2171,19,1085,7,0,0,Infrequent,2,0,0,0,Vinayaka Nagara,Anantapur,516003.0,ANDHRA PRADESH,Kirana / Grocery / General Store
31515,155035,549,5,274,31,0,0,Infrequent,0,0,0,2,Noori Chowk,Nanded,431604.0,MAHARASHTRA,Kirana / Grocery / General Store
31516,155038,399,2,133,18,0,0,Infrequent,0,0,0,3,Vinayaka Nagara,Anantapur,516004.0,ANDHRA PRADESH,Kirana / Grocery / General Store
31517,155039,1830,11,610,30,0,0,Infrequent,0,2,0,1,Noori Chowk,Nanded,431604.0,MAHARASHTRA,Kirana / Grocery / General Store
31518,155043,565,5,282,36,0,0,Infrequent,0,0,0,2,Basavapatana,Basavapatana,573133.0,KARNATAKA,Kirana / Grocery / General Store
31519,155047,665,6,332,48,0,0,Infrequent,0,1,0,1,Chas,Kopargaon,423607.0,MAHARASHTRA,Kirana / Grocery / General Store
31520,155052,732,4,244,24,0,0,Infrequent,0,0,0,3,Basavapatana,Basavapatana,573133.0,KARNATAKA,Bakery / Sweets & Snacks Shop / Juice Center
31521,155055,998,6,332,24,0,0,Infrequent,0,1,0,2,Basavapatana,Basavapatana,573133.0,KARNATAKA,Bakery / Sweets & Snacks Shop / Juice Center
31522,155057,0,396,22276,17,0,0,Frequent,3,0,0,2,,,,,
31523,155058,599,5,299,13,0,0,Infrequent,0,0,0,2,Basavapatana,Basavapatana,573133.0,KARNATAKA,Bakery / Sweets & Snacks Shop / Juice Center
31524,155060,0,18,3356,7,0,0,Infrequent,1,0,1,0,Kupwad - Bamnoli,Sangli,4164136.0,MAHARASHTRA,Kirana / Grocery / General Store
31525,155062,1081,9,540,23,0,0,Infrequent,0,1,0,1,Basavapatana,Basavapatana,573133.0,KARNATAKA,Bakery / Sweets & Snacks Shop / Juice Center
31526,155066,931,5,310,24,0,0,Infrequent,0,0,0,3,Basavapatana,Basavapatana,573133.0,KARNATAKA,Bakery / Sweets & Snacks Shop / Juice Center
31527,155068,349,4,224,58,0,0,Infrequent,0,0,0,2,Chas,Kopargaon,423607.0,MAHARASHTRA,Kirana / Grocery / General Store
31528,155069,465,6,349,58,0,0,Infrequent,0,0,0,2,Chas,Kopargaon,423607.0,MAHARASHTRA,Pan / Cigarette Shop / Tea Point
31529,155071,399,5,288,39,0,0,Infrequent,0,0,0,3,Chas,Kopargaon,423607.0,MAHARASHTRA,Kirana / Grocery / General Store
31530,155072,0,793,37145,19,0,0,Frequent,3,0,0,0,,,,,
31531,155074,0,7,2868,3,0,0,Frequent,0,0,2,0,Kupwad - Bamnoli (Atta),Sangli,416436.0,MAHARASHTRA,Kirana / Grocery / General Store
31532,155077,10457,29,3485,18,0,0,Infrequent,3,0,0,0,Anantapur,Athani,591220.0,KARNATAKA,Kirana / Grocery / General Store
31533,155079,0,55,3102,16,0,0,Regular,5,0,0,0,Ghatkesar,Uppal,501301.0,TELANGANA,Wholesaler
31534,155081,0,16,2557,5,0,0,Frequent,6,0,0,0,Kupwad 1 - Bamnoli 1,Sangli,416436.0,MAHARASHTRA,Kirana / Grocery / General Store
31535,155082,0,37,3800,26,0,0,Frequent,3,0,0,1,Kupwad 1 - Bamnoli 1,Sangli,416436.0,MAHARASHTRA,Kirana / Grocery / General Store
31536,155084,0,13,1339,13,0,0,Regular,7,0,0,0,Khedashi - Pali,Ratnagiri,415639.0,MAHARASHTRA,Kirana / Grocery / General Store
31537,155085,0,21,3356,3,0,0,Frequent,2,0,0,0,Kupwad - Bamnoli (Atta),Sangli,416436.0,MAHARASHTRA,Kirana / Grocery / General Store
31538,155086,0,97,5543,10,0,0,Frequent,8,0,0,0,Ghatkesar,Uppal,501301.0,TELANGANA,Wholesaler
31539,155087,449,10,540,58,0,0,Infrequent,0,1,0,1,Chas,Kopargaon,423607.0,MAHARASHTRA,Kirana / Grocery / General Store
31540,155090,0,14,1494,16,0,0,Regular,6,0,0,1,Khedashi - Pali,Ratnagiri,415619.0,MAHARASHTRA,Kirana / Grocery / General Store
31541,155091,0,12,1918,19,0,0,Regular,1,0,0,3,Kupwad 1 - Bamnoli 1,Sangli,416436.0,MAHARASHTRA,Kirana / Grocery / General Store
31542,155092,0,60,9591,3,0,0,Frequent,2,0,0,0,Kupwad 1 - Bamnoli 1,Sangli,416436.0,MAHARASHTRA,Kirana / Grocery / General Store
31543,155094,0,21,2394,9,0,0,Frequent,6,0,0,0,Khedashi - Pali,Ratnagiri,415619.0,MAHARASHTRA,Kirana / Grocery / General Store
31544,155095,0,45,7193,3,0,0,Frequent,2,0,0,0,Kupwad - Bamnoli,Sangli,416436.0,MAHARASHTRA,Kirana / Grocery / General Store
31545,155097,0,18,2015,16,0,0,Frequent,7,0,0,0,Khedashi - Pali,Ratnagiri,415612.0,MAHARASHTRA,Kirana / Grocery / General Store
31546,155099,0,7,1233,15,0,0,Regular,2,0,0,5,Kupwad 1 - Bamnoli 1,Sangli,416436.0,MAHARASHTRA,Kirana / Grocery / General Store
31547,155100,0,18,1484,12,0,0,Frequent,8,0,0,1,Khedashi - Pali,Ratnagiri,415612.0,MAHARASHTRA,Kirana / Grocery / General Store
31548,155101,0,123,23633,3,1,1,Frequent,2,0,0,0,Kupwad 1 - Bamnoli 1,Sangli,416436.0,MAHARASHTRA,Self Service Store / Stand Alone / Super Market
31549,155102,0,79,9581,5,0,0,Frequent,21,0,1,0,Kupwad 1 - Bamnoli 1,Sangli,4164136.0,MAHARASHTRA,Kirana / Grocery / General Store
31550,155106,0,71,3154,22,0,0,Regular,4,0,0,0,Pandharpur Waluj,Aurangabad,431136.0,MAHARASHTRA,Wholesaler
31551,155107,557,13,728,55,0,0,Infrequent,0,2,0,0,Dargha Road - Parbhani,Parbhani,431401.0,MAHARASHTRA,Kirana / Grocery / General Store
31552,155108,0,46,2476,7,0,0,Regular,3,2,0,0,Ghatkesar,Uppal,501301.0,TELANGANA,Wholesaler
31553,155110,0,28,3506,7,0,0,Frequent,13,0,0,2,Kupwad 1 - Bamnoli 1,Sangli,416434.0,MAHARASHTRA,Kirana / Grocery / General Store
31554,155111,748,6,321,39,0,0,Infrequent,0,1,0,2,Chas,Kopargaon,423604.0,MAHARASHTRA,Kirana / Grocery / General Store
31555,155112,540,5,263,39,0,0,Infrequent,0,0,0,3,Chas,Kopargaon,423604.0,MAHARASHTRA,Kirana / Grocery / General Store
31556,155113,22097,43,2209,11,0,0,Regular,7,3,0,0,Old Town,Anantapur,515001.0,ANDHRA PRADESH,Wholesaler
31557,155114,0,17,895,13,0,0,Regular,2,4,0,0,Ghatkesar,Uppal,501301.0,TELANGANA,Kirana / Grocery / General Store
31558,155115,0,18,1362,11,0,0,Frequent,4,0,0,6,Kupwad 1 - Bamnoli 1,Sangli,416416.0,MAHARASHTRA,Kirana / Grocery / General Store
31559,155120,0,12,1150,15,0,0,Frequent,7,0,0,0,Malnaka - Karwanchiwadi,Ratnagiri,415612.0,MAHARASHTRA,Kirana / Grocery / General Store
31560,155123,0,13,1339,16,0,0,Regular,7,0,0,0,Malnaka - Karwanchiwadi,Ratnagiri,415612.0,MAHARASHTRA,Kirana / Grocery / General Store
31561,155124,0,20,2004,17,0,0,Regular,7,0,0,0,Malnaka - Karwanchiwadi,Ratnagiri,415612.0,MAHARASHTRA,Kirana / Grocery / General Store
31562,155126,2204,10,551,15,0,0,Regular,0,2,0,2,Sullurupeta,Sullurpeta,124121.0,ANDHRA PRADESH,Pan / Cigarette Shop / Tea Point
31563,155133,2590,3,1295,7,0,0,Infrequent,0,0,2,0,Keshavapur,Hubballi,580029.0,KARNATAKA,Kirana / Grocery / General Store
31564,155134,0,12,1918,14,0,0,Infrequent,1,0,0,1,Miraj Town,Sangli,416410.0,MAHARASHTRA,Kirana / Grocery / General Store
31565,155135,0,3,954,10,0,0,Infrequent,0,0,0,2,Miraj Main Market (Atta),Sangli,416410.0,MAHARASHTRA,Kirana / Grocery / General Store
31566,155136,0,27,2702,10,0,0,Regular,10,0,0,0,Malnaka - Karwanchiwadi,Ratnagiri,415612.0,MAHARASHTRA,Kirana / Grocery / General Store
31567,155137,6985,93,5614,54,0,0,Infrequent,2,0,0,0,Loni,Rahuri,413736.0,MAHARASHTRA,Kirana / Grocery / General Store
31568,155140,3328,13,665,16,0,0,Regular,0,4,0,1,Sullurupeta,Sullurpeta,524121.0,ANDHRA PRADESH,Pan / Cigarette Shop / Tea Point
31569,155142,1281,5,494,20,0,0,Frequent,0,1,1,2,Hukkeri,Ramdurg,591309.0,KARNATAKA,Kirana / Grocery / General Store
31570,155143,0,18,984,10,0,0,Infrequent,1,0,0,1,Miraj Town,Sangli,416410.0,MAHARASHTRA,Kirana / Grocery / General Store
31571,155146,3184,19,796,19,0,0,Regular,2,2,0,1,Sullurupeta,Sullurpeta,524121.0,ANDHRA PRADESH,Bakery / Sweets & Snacks Shop / Juice Center
31572,155149,916,5,458,10,0,0,Infrequent,0,0,0,2,Sullurupeta,Sullurpeta,524121.0,ANDHRA PRADESH,Self Service Store / Stand Alone / Super Market
31573,155150,299,5,266,30,0,0,Infrequent,0,0,0,2,Vinayak Nagar,Secunderabad,500056.0,TELANGANA,Kirana / Grocery / General Store
31574,155152,1915,7,638,14,0,0,Regular,1,0,0,2,Sullurupeta,Sullurpeta,524121.0,ANDHRA PRADESH,Self Service Store / Stand Alone / Super Market
31575,155154,3836,12,1918,7,0,0,Infrequent,2,0,0,0,Loni,Rahuri,413736.0,MAHARASHTRA,Kirana / Grocery / General Store
31576,155155,0,20,5252,10,0,0,Infrequent,1,0,0,1,Miraj Town,Sangli,416410.0,MAHARASHTRA,Kirana / Grocery / General Store
31577,155158,7592,2,3796,7,0,0,Infrequent,0,0,2,0,Keshavapur,Hubballi,580023.0,KARNATAKA,Kirana / Grocery / General Store
31578,155161,199,3,149,30,0,0,Infrequent,0,0,0,2,Vinayak Nagar,Secunderabad,500056.0,TELANGANA,Kirana / Grocery / General Store
31579,155165,1730,16,865,10,0,0,Infrequent,0,2,0,0,Sullurupeta,Sullurpeta,524121.0,ANDHRA PRADESH,Pan / Cigarette Shop / Tea Point
